mean,std,min,max,p01,p50,p99,height,width,path
76.92935180664062,50.735107421875,0.0,255.0,0.0,102.0,175.0,245,315,data\raw\chest-ctscan-images\Data\valid\adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib\000108 (7).png
89.67121124267578,47.97834014892578,0.0,255.0,0.0,109.0,189.0,247,395,data\raw\chest-ctscan-images\Data\valid\adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib\000108 (8).png
78.65074920654297,57.44245529174805,0.0,255.0,0.0,111.0,186.0,264,439,data\raw\chest-ctscan-images\Data\valid\adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib\000109 (3).png
59.69184112548828,51.85469436645508,0.0,255.0,0.0,43.0,148.61000061035156,335,424,data\raw\chest-ctscan-images\Data\valid\adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib\000109 (4).png
81.34149932861328,50.02320098876953,0.0,255.0,0.0,106.0,184.0,256,406,data\raw\chest-ctscan-images\Data\valid\adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib\000109 (8).png
46.54161834716797,35.972808837890625,0.0,255.0,0.0,65.0,123.0,219,381,data\raw\chest-ctscan-images\Data\valid\adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib\000110 (7).png
88.36236572265625,53.49943542480469,0.0,255.0,0.0,114.0,165.0,275,394,data\raw\chest-ctscan-images\Data\valid\adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib\000111 (2).png
73.6347885131836,46.7929573059082,0.0,255.0,0.0,100.0,159.0,251,377,data\raw\chest-ctscan-images\Data\valid\adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib\000112 (2).png
72.73892974853516,52.57489776611328,0.0,255.0,0.0,83.0,168.0,269,338,data\raw\chest-ctscan-images\Data\valid\adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib\000112 (9).png
75.73967742919922,51.884830474853516,0.0,255.0,0.0,103.0,172.0,245,431,data\raw\chest-ctscan-images\Data\valid\adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib\000113 (3).png
77.16136932373047,47.89257049560547,0.0,255.0,0.0,98.0,154.0,182,374,data\raw\chest-ctscan-images\Data\valid\adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib\000113.png
94.24974822998047,51.48291015625,0.0,255.0,0.0,116.0,172.0,253,358,data\raw\chest-ctscan-images\Data\valid\adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib\000114 (10).png
79.9120864868164,49.70823669433594,0.0,255.0,0.0,104.0,161.0,202,361,data\raw\chest-ctscan-images\Data\valid\adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib\000114.png
71.01106262207031,49.6242561340332,0.0,255.0,0.0,97.0,156.0,252,359,data\raw\chest-ctscan-images\Data\valid\adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib\000115 (2).png
70.9007568359375,45.94889450073242,0.0,255.0,0.0,93.0,146.0,249,408,data\raw\chest-ctscan-images\Data\valid\adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib\000115 (5).png
83.84506225585938,50.523101806640625,0.0,255.0,0.0,105.0,161.0,258,356,data\raw\chest-ctscan-images\Data\valid\adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib\000115 (9).png
85.08273315429688,48.07423400878906,0.0,255.0,0.0,104.0,164.0,192,345,data\raw\chest-ctscan-images\Data\valid\adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib\000115.png
86.3332748413086,58.960052490234375,0.0,255.0,0.0,117.0,199.0,246,421,data\raw\chest-ctscan-images\Data\valid\adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib\000116 (3).png
68.73956298828125,51.31440734863281,0.0,255.0,0.0,98.0,152.0,299,379,data\raw\chest-ctscan-images\Data\valid\adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib\000116 (5).png
78.48990631103516,49.443206787109375,0.0,255.0,0.0,103.0,176.0,274,409,data\raw\chest-ctscan-images\Data\valid\adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib\000116 (8).png
75.70580291748047,36.25011444091797,0.0,255.0,0.0,86.0,138.0,216,353,data\raw\chest-ctscan-images\Data\valid\adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib\000116 (9).png
51.68649673461914,34.79584503173828,0.0,255.0,0.0,67.0,117.0,242,408,data\raw\chest-ctscan-images\Data\valid\adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib\000117 (6).png
100.33432006835938,66.54168701171875,0.0,255.0,0.0,132.0,189.0,235,388,data\raw\chest-ctscan-images\Data\valid\adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib\000117.png
83.73534393310547,46.15385818481445,0.0,255.0,0.0,104.0,165.0,205,386,data\raw\chest-ctscan-images\Data\valid\large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa\000108 (2).png
74.25444793701172,51.79140090942383,0.0,255.0,0.0,103.0,161.0,274,353,data\raw\chest-ctscan-images\Data\valid\large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa\000108.png
94.18885040283203,46.54221725463867,0.0,255.0,0.0,111.0,157.0,255,345,data\raw\chest-ctscan-images\Data\valid\large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa\000109.png
69.30242919921875,59.19854736328125,0.0,255.0,0.0,46.0,175.0,251,385,data\raw\chest-ctscan-images\Data\valid\large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa\000110 (2).png
100.2916488647461,48.08653259277344,0.0,255.0,0.0,119.0,168.11000061035156,265,346,data\raw\chest-ctscan-images\Data\valid\large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa\000110.png
71.86631774902344,54.669124603271484,0.0,255.0,0.0,80.0,169.0,232,342,data\raw\chest-ctscan-images\Data\valid\large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa\000111 (2).png
