split,class,filename,severity,anomalies,details
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000009 (3).png,warning,border_anomaly,{"right_border_mean_diff": 80.66; "anomalous_borders": ["right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000013 (4).png,warning,border_anomaly,{"left_border_mean_diff": 100.56; "right_border_mean_diff": 84.12; "anomalous_borders": ["left"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000013 (8).png,warning,border_anomaly,{"top_border_mean_diff": 91.59; "left_border_mean_diff": 81.12; "anomalous_borders": ["top"; "left"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000014 (7).png,warning,border_anomaly,{"top_border_mean_diff": 85.37; "left_border_mean_diff": 87.22; "right_border_mean_diff": 96.74; "anomalous_borders": ["top"; "left"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000018 (5).png,warning,border_anomaly,{"left_border_mean_diff": 97.06; "right_border_mean_diff": 97.78; "anomalous_borders": ["left"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000020 (5).png,warning,border_anomaly,{"top_border_mean_diff": 115.6; "left_border_mean_diff": 99.17; "right_border_mean_diff": 100.15; "anomalous_borders": ["top"; "left"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000021 (4).png,warning,border_anomaly,{"top_border_mean_diff": 98.28; "right_border_mean_diff": 100.2; "anomalous_borders": ["top"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000026 (10).png,warning,border_anomaly,{"top_border_mean_diff": 81.17; "anomalous_borders": ["top"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000026 (3).png,warning,border_anomaly,{"right_border_mean_diff": 83.13; "anomalous_borders": ["right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000027 (4).png,warning,border_anomaly,{"top_border_mean_diff": 97.0; "left_border_mean_diff": 81.71; "right_border_mean_diff": 98.05; "anomalous_borders": ["top"; "left"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000027 (6).png,warning,border_anomaly,{"top_border_mean_diff": 107.88; "left_border_mean_diff": 93.88; "right_border_mean_diff": 89.39; "anomalous_borders": ["top"; "left"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000029 (4).png,warning,border_anomaly,{"top_border_mean_diff": 87.39; "right_border_mean_diff": 95.98; "anomalous_borders": ["top"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000030 (4).png,warning,border_anomaly,{"right_border_mean_diff": 83.21; "anomalous_borders": ["right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000035 (4).png,warning,border_anomaly,{"top_border_mean_diff": 83.93; "anomalous_borders": ["top"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000035 (5).png,warning,border_anomaly,{"top_border_mean_diff": 82.85; "anomalous_borders": ["top"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000044 (9).png,warning,border_anomaly,{"top_border_mean_diff": 97.64; "anomalous_borders": ["top"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000048.png,warning,border_anomaly,{"right_border_mean_diff": 86.48; "anomalous_borders": ["right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000049 (9).png,warning,border_anomaly,{"top_border_mean_diff": 84.51; "anomalous_borders": ["top"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000050 (3).png,warning,border_anomaly,{"top_border_mean_diff": 89.69; "anomalous_borders": ["top"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000051 (4).png,warning,border_anomaly,{"top_border_mean_diff": 102.72; "anomalous_borders": ["top"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000054.png,warning,border_anomaly,{"right_border_mean_diff": 97.49; "anomalous_borders": ["right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000055 (2).png,warning,border_anomaly,{"right_border_mean_diff": 91.8; "anomalous_borders": ["right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000058 (4).png,warning,border_anomaly,{"top_border_mean_diff": 101.4; "left_border_mean_diff": 82.62; "right_border_mean_diff": 107.52; "anomalous_borders": ["top"; "left"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000061.png,warning,border_anomaly,{"top_border_mean_diff": 85.31; "right_border_mean_diff": 86.06; "anomalous_borders": ["top"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000075 (5).png,warning,border_anomaly,{"top_border_mean_diff": 86.49; "anomalous_borders": ["top"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000083 (3).png,warning,border_anomaly,{"top_border_mean_diff": 89.45; "anomalous_borders": ["top"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000084 (7).png,warning,border_anomaly,{"top_border_mean_diff": 91.01; "left_border_mean_diff": 82.39; "anomalous_borders": ["top"; "left"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000085 (4).png,warning,border_anomaly,{"top_border_mean_diff": 87.16; "anomalous_borders": ["top"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000085 (7).png,warning,border_anomaly,{"top_border_mean_diff": 82.47; "anomalous_borders": ["top"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000087 (4).png,warning,border_anomaly,{"top_border_mean_diff": 88.21; "left_border_mean_diff": 82.53; "right_border_mean_diff": 96.51; "anomalous_borders": ["top"; "left"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000087 (8).png,warning,border_anomaly,{"top_border_mean_diff": 87.97; "right_border_mean_diff": 87.42; "anomalous_borders": ["top"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000091 (7).png,warning,border_anomaly,{"top_border_mean_diff": 96.8; "right_border_mean_diff": 93.94; "anomalous_borders": ["top"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000091.png,warning,border_anomaly,{"top_border_mean_diff": 86.4; "left_border_mean_diff": 87.78; "right_border_mean_diff": 102.71; "anomalous_borders": ["top"; "left"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000095 (6).png,warning,border_anomaly,{"top_border_mean_diff": 80.12; "left_border_mean_diff": 80.48; "right_border_mean_diff": 98.93; "anomalous_borders": ["top"; "left"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000095.png,warning,border_anomaly,{"right_border_mean_diff": 80.09; "anomalous_borders": ["right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000097 (3).png,warning,border_anomaly,{"top_border_mean_diff": 81.87; "right_border_mean_diff": 94.01; "anomalous_borders": ["top"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000102 (3).png,warning,border_anomaly,{"top_border_mean_diff": 88.54; "right_border_mean_diff": 97.92; "anomalous_borders": ["top"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000102 (7).png,warning,border_anomaly,{"right_border_mean_diff": 94.56; "anomalous_borders": ["right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000102.png,warning,border_anomaly,{"top_border_mean_diff": 87.89; "left_border_mean_diff": 82.08; "right_border_mean_diff": 105.66; "anomalous_borders": ["top"; "left"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000104 (10).png,warning,border_anomaly,{"right_border_mean_diff": 100.58; "anomalous_borders": ["right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000104 (4).png,warning,border_anomaly,{"top_border_mean_diff": 89.24; "right_border_mean_diff": 103.81; "anomalous_borders": ["top"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000105 (4).png,warning,border_anomaly,{"right_border_mean_diff": 85.0; "anomalous_borders": ["right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000105.png,warning,border_anomaly,{"top_border_mean_diff": 103.8; "left_border_mean_diff": 88.93; "right_border_mean_diff": 105.35; "anomalous_borders": ["top"; "left"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000106 (10).png,warning,border_anomaly,{"right_border_mean_diff": 83.9; "anomalous_borders": ["right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000106 (4).png,warning,border_anomaly,{"top_border_mean_diff": 87.59; "anomalous_borders": ["top"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000106 (8).png,warning,border_anomaly,{"top_border_mean_diff": 98.79; "right_border_mean_diff": 98.06; "anomalous_borders": ["top"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000118 (4).png,warning,border_anomaly,{"top_border_mean_diff": 89.93; "right_border_mean_diff": 83.88; "anomalous_borders": ["top"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000118 (6).png,warning,border_anomaly,{"top_border_mean_diff": 91.84; "right_border_mean_diff": 85.28; "anomalous_borders": ["top"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000119 (10).png,warning,border_anomaly,{"right_border_mean_diff": 95.69; "anomalous_borders": ["right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000121 (10).png,warning,border_anomaly,{"top_border_mean_diff": 123.76; "left_border_mean_diff": 94.88; "right_border_mean_diff": 104.53; "anomalous_borders": ["top"; "left"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000121 (9).png,warning,border_anomaly,{"left_border_mean_diff": 91.15; "right_border_mean_diff": 109.22; "anomalous_borders": ["left"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,000122.png,warning,border_anomaly,{"top_border_mean_diff": 96.84; "right_border_mean_diff": 105.05; "anomalous_borders": ["top"; "right"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,ad1.png,critical,text_overlay|possible_watermark,{"top_right_bright_mean": 197.61; "bottom_right_bright_mean": 165.7; "top_bar_bright_fraction": 0.4347; "bottom_bar_bright_fraction": 0.3619; "left_bar_bright_fraction": 0.6192; "right_bar_bright_fraction": 0.7725; "text_regions": ["top_right"; "bottom_right"; "top_bar"; "bottom_bar"; "left_bar"; "right_bar"]; "highpass_ratio": 0.1667; "text_like_ratio": 0.7207}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,ad10.png,critical,colored_pixels|high_saturation|yellow_overlay|border_anomaly|colored_lines,{"colored_pixel_fraction": 0.00683; "high_saturation_fraction": 0.00613; "yellow_fraction": 0.00264; "left_border_mean_diff": 119.08; "right_border_mean_diff": 113.0; "anomalous_borders": ["left"; "right"]; "colored_line_count": 9}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,ad11.png,critical,text_overlay|possible_watermark,{"top_bar_bright_fraction": 0.2965; "bottom_bar_bright_fraction": 0.2386; "left_bar_bright_fraction": 0.3651; "right_bar_bright_fraction": 0.4136; "text_regions": ["top_bar"; "bottom_bar"; "left_bar"; "right_bar"]; "highpass_ratio": 0.1882; "text_like_ratio": 0.7402}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,ad12.png,critical,text_overlay|possible_watermark,{"bottom_left_edge_density": 0.1831; "bottom_left_std": 73.23; "bottom_right_edge_density": 0.2044; "bottom_right_std": 72.75; "bottom_bar_bright_fraction": 0.2587; "left_bar_bright_fraction": 0.2803; "right_bar_bright_fraction": 0.2474; "text_regions": ["bottom_left"; "bottom_right"; "bottom_bar"; "left_bar"; "right_bar"]; "highpass_ratio": 0.1663; "text_like_ratio": 0.6876}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,ad13.png,critical,text_overlay|possible_watermark,{"top_left_edge_density": 0.2162; "top_left_std": 60.65; "top_right_edge_density": 0.2037; "top_right_std": 62.03; "bottom_left_edge_density": 0.2306; "bottom_left_std": 66.27; "bottom_right_edge_density": 0.1794; "bottom_right_std": 65.7; "text_regions": ["top_left"; "top_right"; "bottom_left"; "bottom_right"]; "highpass_ratio": 0.2195; "text_like_ratio": 0.8362}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,ad14.png,warning,border_anomaly|possible_watermark,{"top_border_mean_diff": 107.83; "bottom_border_mean_diff": 103.78; "left_border_mean_diff": 89.33; "right_border_mean_diff": 83.6; "anomalous_borders": ["top"; "bottom"; "left"; "right"]; "highpass_ratio": 0.1498; "text_like_ratio": 0.5588}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,ad15.png,critical,text_overlay,{"top_bar_bright_fraction": 0.1871; "bottom_bar_bright_fraction": 0.4749; "left_bar_bright_fraction": 0.231; "right_bar_bright_fraction": 0.3783; "text_regions": ["top_bar"; "bottom_bar"; "left_bar"; "right_bar"]}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,ad16.png,critical,text_overlay|border_anomaly|possible_watermark,{"bottom_bar_bright_fraction": 0.208; "left_bar_bright_fraction": 0.3081; "right_bar_bright_fraction": 0.3369; "text_regions": ["bottom_bar"; "left_bar"; "right_bar"]; "top_border_mean_diff": 93.24; "anomalous_borders": ["top"]; "highpass_ratio": 0.1767; "text_like_ratio": 0.655}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,ad17.png,critical,text_overlay|possible_watermark,{"top_right_bright_mean": 152.39; "bottom_right_bright_mean": 162.81; "bottom_bar_bright_fraction": 0.4003; "left_bar_bright_fraction": 0.5884; "right_bar_bright_fraction": 0.6977; "text_regions": ["top_right"; "bottom_right"; "bottom_bar"; "left_bar"; "right_bar"]; "highpass_ratio": 0.1779; "text_like_ratio": 0.7362}
train,adenocarcinoma_left.lower.lobe_T2_N0_M0_Ib,ad18.png,critical,text_overlay|possible_watermark,{"top_left_bright_mean": 156.16; "bottom_left_edge_density": 0.1938; "bottom_left_std": 72.31; "bottom_right_edge_density": 0.2031; "bottom_right_std": 72.72; "bottom_bar_bright_fraction": 0.3372; "left_bar_bright_fraction": 0.2894; "right_bar_bright_fraction": 0.2852; "text_regions": ["top_left"; "bottom_left"; "bottom_right"; "bottom_bar"; "left_bar"; "right_bar"]; "highpass_ratio": 0.1696; "text_like_ratio": 0.6961}
